timestamp,event_type,content
1733330495.307714,feedback_received,"Nano_Current: 526,534,532,529,532"
1733330495.355407,feedback_received,"Uno_FB: 209,218,215,337"
1733330495.35594,feedback_received,Nano_Servo5_FB: 402
1733330495.3565068,feedback_received,"Nano_Current: 526,533,530,529,532"
1733330495.405289,feedback_received,"Uno_FB: 207,218,214,336"
1733330495.406098,feedback_received,"Uno_FB: 203,218,215,336"
1733330495.406385,feedback_received,Nano_Servo5_FB: 402
1733330495.4069278,feedback_received,"Nano_Current: 527,533,532,529,531"
1733330495.441925,command_sent,"<025,035,160,090,120>"
1733330495.461031,feedback_received,"Uno_FB: 201,218,215,336"
1733330495.461449,feedback_received,Nano_Servo5_FB: 401
1733330495.4619038,feedback_received,"Nano_Current: 526,533,531,529,532"
1733330495.4776828,command_sent,"<023,035,160,090,120>"
1733330495.4975328,command_sent,"<020,035,160,090,120>"
1733330495.517034,feedback_received,"Uno_FB: 202,218,215,336"
1733330495.517689,feedback_received,"Uno_FB: 202,219,215,337"
1733330495.5179222,feedback_received,Nano_Servo5_FB: 402
1733330495.518357,feedback_received,"Nano_Current: 527,533,531,530,532"
1733330495.531451,command_sent,"<019,035,160,090,120>"
1733330495.5509272,command_sent,"<017,035,160,090,120>"
1733330495.5719502,command_sent,"<014,035,160,090,120>"
1733330495.5730538,feedback_received,"Uno_FB: 208,218,215,337"
1733330495.5733151,feedback_received,Nano_Servo5_FB: 402
1733330495.573746,feedback_received,"Nano_Current: 530,533,531,529,532"
1733330495.60384,command_sent,"<012,035,160,090,120>"
1733330495.6228569,feedback_received,"Uno_FB: 205,219,215,337"
1733330495.623512,feedback_received,"Uno_FB: 203,219,215,337"
1733330495.623765,feedback_received,Nano_Servo5_FB: 402
1733330495.624197,feedback_received,"Nano_Current: 531,533,532,529,532"
1733330495.639172,command_sent,"<011,035,160,090,120>"
1733330495.658297,feedback_received,"Uno_FB: 195,219,214,336"
1733330495.658711,feedback_received,Nano_Servo5_FB: 401
1733330495.659136,feedback_received,"Nano_Current: 529,533,531,528,531"
